date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:08	358157/358157	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202024%2022:53:07%20GMT	https://keenthemes.com/metronic/tailwind/demo1/account/home/user-profile	C:/My%20Web%20Sites/aaaa/keenthemes.com/metronic/tailwind/demo1/account/home/user-profile.html	(from )
23:53:09	374/374	---MCZ	200	added ('OK')	text/plain	etag:W/%2266ea7303-302%22	https://keenthemes.com/robots.txt		(from )
23:53:09	1645/1645	---M--	200	added ('OK')	image/png	etag:%221719245057.6548703-1645-371666982%22	https://keenthemes.com/static/metronic/tailwind/dist/assets/media/app/apple-touch-icon.png	C:/My%20Web%20Sites/aaaa/keenthemes.com/static/metronic/tailwind/dist/assets/media/app/apple-touch-icon.png	(from https://keenthemes.com/metronic/tailwind/demo1/account/home/user-profile)
23:53:09	488/488	---M--	200	added ('OK')	image/png	etag:%221719245057.6548703-488-2175675971%22	https://keenthemes.com/static/metronic/tailwind/dist/assets/media/app/favicon-32x32.png	C:/My%20Web%20Sites/aaaa/keenthemes.com/static/metronic/tailwind/dist/assets/media/app/favicon-32x32.png	(from https://keenthemes.com/metronic/tailwind/demo1/account/home/user-profile)
23:53:09	344/344	---M--	200	added ('OK')	image/png	etag:%221719245057.6548703-344-2177117767%22	https://keenthemes.com/static/metronic/tailwind/dist/assets/media/app/favicon-16x16.png	C:/My%20Web%20Sites/aaaa/keenthemes.com/static/metronic/tailwind/dist/assets/media/app/favicon-16x16.png	(from https://keenthemes.com/metronic/tailwind/demo1/account/home/user-profile)
23:53:10	13383/13383	---MCZ	200	added ('OK')	text/css	etag:W/%221723209067.7786486-13383-3089969688%22	https://keenthemes.com/static/metronic/tailwind/dist/assets/vendors/apexcharts/apexcharts.css	C:/My%20Web%20Sites/aaaa/keenthemes.com/static/metronic/tailwind/dist/assets/vendors/apexcharts/apexcharts.css	(from https://keenthemes.com/metronic/tailwind/demo1/account/home/user-profile)
23:53:10	232374/232374	---MCZ	200	added ('OK')	text/css	etag:W/%221719245503.1542735-232374-478819005%22	https://keenthemes.com/static/metronic/tailwind/dist/assets/vendors/keenicons/styles.bundle.css	C:/My%20Web%20Sites/aaaa/keenthemes.com/static/metronic/tailwind/dist/assets/vendors/keenicons/styles.bundle.css	(from https://keenthemes.com/metronic/tailwind/demo1/account/home/user-profile)
23:53:10	160182/160182	---MCZ	200	added ('OK')	text/css	etag:W/%221726638440.2946737-160182-1131620975%22	https://keenthemes.com/static/metronic/tailwind/dist/assets/css/styles.css	C:/My%20Web%20Sites/aaaa/keenthemes.com/static/metronic/tailwind/dist/assets/css/styles.css	(from https://keenthemes.com/metronic/tailwind/demo1/account/home/user-profile)
23:53:11	317818/317818	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202024%2022:53:10%20GMT	https://keenthemes.com/metronic/tailwind/demo1/account/home/get-started	C:/My%20Web%20Sites/aaaa/keenthemes.com/metronic/tailwind/demo1/account/home/get-started.html	(from https://keenthemes.com/metronic/tailwind/demo1/account/home/user-profile)
23:53:11	334088/334088	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202024%2022:53:10%20GMT	https://keenthemes.com/metronic/tailwind/demo1/account/home/company-profile	C:/My%20Web%20Sites/aaaa/keenthemes.com/metronic/tailwind/demo1/account/home/company-profile.html	(from https://keenthemes.com/metronic/tailwind/demo1/account/home/user-profile)
